Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/async/posts,36666,0,310,318.6372808694451,66.06676400042488,605.9650339993823,14631.0,620.3351757204654,0.0,310,330,340,350,370,390,410,440,570,580,610
,Aggregated,36666,0,310,318.6372808694451,66.06676400042488,605.9650339993823,14631.0,620.3351757204654,0.0,310,330,340,350,370,390,410,440,570,580,610
