Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/async/posts,17913,0,650,651.3096660863603,57.053147998885834,1248.1081959995208,14631.0,302.76399880521717,0.0,650,680,700,710,730,740,760,770,790,1200,1200
,Aggregated,17913,0,650,651.3096660863603,57.053147998885834,1248.1081959995208,14631.0,302.76399880521717,0.0,650,680,700,710,730,740,760,770,790,1200,1200
