Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/async/message,6116,211,7,4909.608614967458,1.7659730001469143,35006.11238199963,91.91252452583387,12.749805015164982,0.4398641036951948,7,43,730,3600,29000,30000,31000,32000,34000,35000,35000
GET,/async/posts,61907,1988,110,5060.939691787328,101.51281700018444,35521.661071999915,14161.833669859629,129.05529415857075,4.144312029128186,110,150,950,4000,30000,31000,31000,32000,35000,35000,36000
GET,/async/users,18716,603,4,4953.745546649014,0.5616580001515104,35046.53304800013,2636.9136033340455,39.01657139696334,1.2570523911289215,4,39,800,3800,29000,30000,31000,32000,34000,35000,35000
,Aggregated,86739,2802,110,5027.13959625661,0.5616580001515104,35521.661071999915,10682.982845086985,180.82167057069907,5.841228523952303,110,140,900,4000,30000,31000,31000,32000,35000,35000,36000
