Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/async/posts,37957,0,320,307.95960332840605,59.34761400021671,546.4653800008819,14631.0,641.5809816390062,0.0,320,330,340,350,390,420,460,480,530,550,550
,Aggregated,37957,0,320,307.95960332840605,59.34761400021671,546.4653800008819,14631.0,641.5809816390062,0.0,320,330,340,350,390,420,460,480,530,550,550
