Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/async/posts,9885,0,1200,1175.0565872288341,52.214678000382264,2586.473622000085,14631.0,167.15755186653436,0.0,1200,1200,1200,1300,1300,1400,1400,1500,2300,2600,2600
,Aggregated,9885,0,1200,1175.0565872288341,52.214678000382264,2586.473622000085,14631.0,167.15755186653436,0.0,1200,1200,1200,1300,1300,1400,1400,1500,2300,2600,2600
